No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
386,435/8,Mathugama - palawatta janpadya,B,1,1,27,54,,1,,,1,1
387,435/403,Mathugama - naduwattha,B,2,6,40,480,,2,,,2,2
388,436,Omattha - colombo,A,1,1,78.1,156.2,,1,,,1,1
389,436/1,Omattha - agalawattha,B,1,1,11.4,22.8,,1,,,1,1
390,437,Molkawa - pettah,A,1,1,94.1,188.2,,1,,,1,1
391,437,Makeliella-colombo,A,1,1,84,168,,1,,,1,1
392,437/1,Mathugama - kelinkanda,B,1,1,32,64,,1,,,1,1
393,438,Kalawellawa - pettah,A,2,2,86.6,346.4,,2,,,2,2
394,441,Aluthgama - mathugama,A,20,40,23,1840,2,23,,,25,25
395,441/1,Mathugama - sanadasirigama,B,1,3,15,90,,,1,,1,1
396,441/1,Kalupahana - pettah,A,1,1,93.4,186.8,,1,,,1,1
397,441/400,Madawela - pettah,A,1,1,,,,2,,,2,2
398,441/400,Welipanna - colombo,A,1,1,77.3,154.6,,1,,,1,1
399,443,Dikhena - mathugama,A,1,2,29.3,117.2,,1,,,1,1
400,446,Kaluthara - neboda(wellatha),B,2,8,24,192,,2,,,2,2
401,450/5,Horana - panadura,A,20,66,18.5,2442,7,19,,,26,26
402,450/7,Horana - ingiriya,A,14,56,18,2016,6,10,,,16,16
403,0450/7/1,Horana - solirajagama,,,,,,,,,,0,0
404,450/9,Panadura - mahabellana,B,4,12,6.3,151.2,,5,,,5,5
405,451,Panadura - newdawa,A,6,15,7.4,2112,,8,,,8,8
406,452,Panadura - rukgahathotupala,A,5,15,7.6,228,3,4,,,7,7
407,453,Kiriberiya - panadura,A,7,21,6.4,268.8,1,8,1,,10,10
408,453/2,Malamulla - panadura,A,5,15,7,210,,7,,,7,7
409,454,Panadura - mahawila,A,4,16,5.5,176,1,5,,,6,6
410,454/1,Mahawila - pettah,A,,,33.6,,,1,,,0,1
411,455,Panadura - morawinna,A,2,8,4.4,70.4,,3,,,3,3
412,455/1,Morawinna - colombo,A,1,2,34.7,138.8,,1,,,1,1
413,456,Panadura - dikgala,B,1,2,5.9,23.6,,,1,,1,1
414,456/1,Panadura - parattha,B,1,8,6.7,107.2,,,1,,1,1
415,457,Panadura - hirana,A,9,25,7.3,365,,11,,,11,11
416,457/1,Panadura - bathtarmulla,A,,,35,,2,,,,2,2
417,458,Horana - mathugama,A,17,36,35.3,2541.6,5,17,,,22,22
418,458/1,Neboda - pettah,A,1,1,68.1,136.2,1,1,,,2,2
419,458/1,Mathugama - pettah(neboda),A,1,1,76,152,,1,,,1,1
420,458/5,Horana-prebuddagama,B,1,3,9,54,,1,,,1,1
421,458/5,Horana - mabogoda,B,1,4,,,,1,,,1,1
422,458/430,Warakagoda-colombo,A,1,1,78,156,1,,,,1,1
423,459,Anguruwathota - panadura,B,3,8,27.5,440,,4,,,4,4
424,462,Atalugama - panadura,A,6,18,13.7,493.2,3,4,,,7,7
425,463,Moronthuduwa - panadura,B,8,18,11.6,417.6,1,9,,,10,10
426,463/1,Weeragama - panadura,B,,,12,,,1,,,1,1
427,463/1,Moronthuduwa - pettah,A,1,1,41.9,83.8,,1,,,1,1
428,464,Gonapola - bandaragama,B,1,55,7.4,814,,1,1,,2,2
429,465,Gonapola - panadura,B,1,5,18,180,,1,,,1,1
430,466/1,Panadura - ambalanduwa,,,,,,,,,,0,0
431,466,Panadura - indigahathotupala,B,3,20,7.6,304,,4,2,,6,6
432,470,Avissawella - hanwella,A,23,72,18,2592,,28,,,28,28
433,472,Singhagama - beruwala,B,1,3,6.5,91,,1,,,1,1
434,472/2,Aluthgama - kalawila,B,2,6,6.4,76.8,,1,1,,2,2
435,472/400,Klawila - colombo,,,,,,,,,,0,0
436,494/1,Kaluthara - horana,,,,,,,,,,0,0
437,514,Weliweriya - fort,A,10,4,27.5,550,,14,,,14,14
438,515,Aluthgama - thotakanattha,B,1,4,10.1,80.8,,,1,,1,1
439,519/1,Kaluthara - halkadawila,,,,,,,,,,0,0
440,609,Avissawella - dalgala,A,,2,16,0,,1,,,1,1
441,670,Nittabuwa - warakapola,AB,2,4,17,68,,,4,,4,4
442,670/1,Danowita-narahenpita,,1,4,,,,,1,,1,1
443,686,Ingiriya - keenagahaela,B,1,4,12,96,,1,,,1,1
444,689,Nugegoda - kudadeniya junction,B,11,56,17,1904,3,8,5,,16,16
445,697,Homagama - kaduwela,A,20,80,18,2880,,38,2,,40,40
446,698,Homagama - kaduwela,A,12,48,19.2,1843.2,1,13,2,,16,16
447,738,Kossinna - fort,B,5,3,26.4,79.2,,6,,,6,6
448,788,Raddoluwa - awariyawattha,B,5,3,6,18,,,,5,5,5
449,795,Piliyandala - gonamadittha,B,3,35,4,280,,2,3,,5,5
450,821,Gampaha- minuwangoda(uggalboda),B,1,4,13,26,,,,2,2,2
451,872,Kiribathgoda - watthala (via uggalboda),B,,,,,,,,,0,0
452,885/1,Gawaragiriya - ingiriya,B,1,3,30,180,,,1,,1,1
453,900,Watthala - ragama,B,6,60,12,720,,7,5,,12,12
454,904,Minuwangoda - awariyawattha,B,1,6,10,60,,2,,,2,2
455,905,Negombo - kochchikade,B,3,24,8,192,1,3,,,4,4
456,965/1,Gulavita-colombo,A,1,1,,,1,,,,1,1
457,965/1,Mathugama - uthugama,B,1,3,22,132,,1,,,1,1
458,966/1,Hadigalla-pelawatta,B,1,3,,,,,,1,1,1
459,966/1,Baduraliya - pelawattha,B,1,3,22,138,,1,,,1,1
460,967/1,Thannahena-mathugam,,,,,,,,,,0,0
461,971/1,Tharunasewamwth - panadura,B,2,6,17,204,,2,,,2,2
462,974,Gampaha - ja-ela,B,1,4,15,60,,,2,,2,2
463,980,Weyangoda - keenawala,B,1,4,7,14,,,2,,2,2
464,980/2,Meerigama-kaleliya,B,1,2,,,,,1,,1,1
465,981/1,Mt.lavinia - badowita,C,,,,,,,,,0,0
466,982,Gampaha - maradagahmula,B,7,3,17.9,251,,4,10,,14,14
467,983,Wattala - kiribathgoda,B,8,72,7.5,540,,10,,,10,10
468,983/2,Kiribathgoda - wattala (via nathuduwa),,,,,,,,,,0,0
469,986,Weyangoda - maligathenna,B,2,5,17,85,,,2,,2,2
470,987,Weyangoda-algama,B,10,3,17.5,350,5,3,5,,13,13
471,987/1,Weyangoda - godagama,B,1,4,,,,,1,,1,1
472,990,Maharagama - vidyala junction,A,1,4,9,72,,,1,,1,1
473,990/1,Maharagama - dambahena,A,1,8,2.5,40,,,3,,3,3
474,992,Gampaha-doranagoda,,,2,9,18,,,1,,1,1
475,993,Maharagama-malabe,A,15,75,8,1200,,17,,,17,17
476,997,Moratuwa - diggala,B,2,12,6.5,156,,,2,,2,2
477,999,Meerigama - giriulla,C,2,4,9.8,39.2,,,3,,3,3
478,999/1,Meerigama - giriulla (via maladeniya),C,,,,,,,,,0,0
